Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,TotalHouseholds,TotalOccasions,OverallAvgPrice,PctFeature,PctDisplay
1,9,11,0.0,4.67,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
1,9,11,0.62,4.98,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
1,9,11,0.31,5.38,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
1,9,11,0.0,4.98,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
2,9,29,0.0,4.67,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
2,9,29,0.62,4.67,1,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
2,9,29,0.31,6.55,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
2,9,29,0.0,4.98,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
3,9,31,0.0,4.67,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
3,9,31,0.62,4.98,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
3,9,31,0.31,6.55,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
3,9,31,0.0,4.98,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
4,9,43,0.0,6.55,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
4,9,43,0.62,3.81,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
4,9,43,0.31,6.55,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
4,9,43,0.0,4.67,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
5,9,45,0.0,6.55,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
5,9,45,0.62,4.67,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
5,9,45,0.31,6.55,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
5,9,45,0.0,4.67,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
6,9,49,0.0,7.02,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
6,9,49,0.62,4.67,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
6,9,49,0.31,7.02,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
6,9,49,0.0,5.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
7,9,51,0.0,7.02,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
7,9,51,0.62,4.67,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
7,9,51,0.31,7.02,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
7,9,51,0.0,5.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
8,11,3,0.33,5.08,0,1,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
8,11,3,0.5,4.22,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
8,11,3,0.0,5.39,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
8,11,3,0.17,5.02,0,1,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
9,11,11,0.33,4.98,0,1,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
9,11,11,0.5,4.22,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
9,11,11,0.0,5.28,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
9,11,11,0.17,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
10,11,17,0.33,6.45,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
10,11,17,0.5,4.89,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
10,11,17,0.0,6.45,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
10,11,17,0.17,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
11,11,21,0.33,4.67,0,0,1,0,0,1,52,348,5.40455459770115,6.25,9.770114942528735
11,11,21,0.5,4.98,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
11,11,21,0.0,6.55,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
11,11,21,0.17,4.98,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
12,11,43,0.33,6.55,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
12,11,43,0.5,4.67,0,0,0,1,0,1,52,348,5.40455459770115,6.25,9.770114942528735
12,11,43,0.0,6.55,0,0,0,0,1,0,52,348,5.40455459770115,6.25,9.770114942528735
12,11,43,0.17,4.67,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
13,12,9,0.0,5.28,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
13,12,9,0.0,4.44,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
13,12,9,0.86,5.28,0,0,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
13,12,9,0.14,4.89,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
14,12,15,0.0,5.28,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
14,12,15,0.0,4.89,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
14,12,15,0.86,6.45,0,0,0,0,1,1,52,348,5.40455459770115,6.25,9.770114942528735
14,12,15,0.14,6.45,0,0,0,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
15,12,19,0.0,6.45,0,0,1,0,0,0,52,348,5.40455459770115,6.25,9.770114942528735
15,12,19,0.0,4.89,0,0,0,1,0,0,52,348,5.40455459770115,6.25,9.770114942528735
