Occasion,Household,Week,Loyalty,Price,Feature,Display,Tide,Wisk,Era,Choice,Brand
1,9,11,0.0,4.67,0,0,1,0,0,1,1
1,9,11,0.62,4.98,0,0,0,1,0,0,2
1,9,11,0.31,5.38,0,0,0,0,1,0,3
1,9,11,0.0,4.98,0,0,0,0,0,0,4
2,9,29,0.0,4.67,0,0,1,0,0,0,1
2,9,29,0.62,4.67,1,0,0,1,0,1,2
2,9,29,0.31,6.55,0,0,0,0,1,0,3
2,9,29,0.0,4.98,0,0,0,0,0,0,4
3,9,31,0.0,4.67,0,0,1,0,0,0,1
3,9,31,0.62,4.98,0,0,0,1,0,1,2
3,9,31,0.31,6.55,0,0,0,0,1,0,3
3,9,31,0.0,4.98,0,0,0,0,0,0,4
4,9,43,0.0,6.55,0,0,1,0,0,0,1
4,9,43,0.62,3.81,0,0,0,1,0,1,2
4,9,43,0.31,6.55,0,0,0,0,1,0,3
4,9,43,0.0,4.67,0,0,0,0,0,0,4
5,9,45,0.0,6.55,0,0,1,0,0,0,1
5,9,45,0.62,4.67,0,0,0,1,0,1,2
5,9,45,0.31,6.55,0,0,0,0,1,0,3
5,9,45,0.0,4.67,0,0,0,0,0,0,4
6,9,49,0.0,7.02,0,0,1,0,0,0,1
6,9,49,0.62,4.67,0,0,0,1,0,1,2
6,9,49,0.31,7.02,0,0,0,0,1,0,3
6,9,49,0.0,5.45,0,0,0,0,0,0,4
7,9,51,0.0,7.02,0,0,1,0,0,0,1
7,9,51,0.62,4.67,0,0,0,1,0,1,2
7,9,51,0.31,7.02,0,0,0,0,1,0,3
7,9,51,0.0,5.45,0,0,0,0,0,0,4
8,11,3,0.33,5.08,0,1,1,0,0,1,1
8,11,3,0.5,4.22,0,0,0,1,0,0,2
8,11,3,0.0,5.39,0,0,0,0,1,0,3
8,11,3,0.17,5.02,0,1,0,0,0,0,4
9,11,11,0.33,4.98,0,1,1,0,0,1,1
9,11,11,0.5,4.22,0,0,0,1,0,0,2
9,11,11,0.0,5.28,0,0,0,0,1,0,3
9,11,11,0.17,4.89,0,0,0,0,0,0,4
10,11,17,0.33,6.45,0,0,1,0,0,1,1
10,11,17,0.5,4.89,0,0,0,1,0,0,2
10,11,17,0.0,6.45,0,0,0,0,1,0,3
10,11,17,0.17,4.89,0,0,0,0,0,0,4
11,11,21,0.33,4.67,0,0,1,0,0,1,1
11,11,21,0.5,4.98,0,0,0,1,0,0,2
11,11,21,0.0,6.55,0,0,0,0,1,0,3
11,11,21,0.17,4.98,0,0,0,0,0,0,4
12,11,43,0.33,6.55,0,0,1,0,0,0,1
12,11,43,0.5,4.67,0,0,0,1,0,1,2
12,11,43,0.0,6.55,0,0,0,0,1,0,3
12,11,43,0.17,4.67,0,0,0,0,0,0,4
13,12,9,0.0,5.28,0,0,1,0,0,0,1
13,12,9,0.0,4.44,0,0,0,1,0,0,2
13,12,9,0.86,5.28,0,0,0,0,1,1,3
13,12,9,0.14,4.89,0,0,0,0,0,0,4
14,12,15,0.0,5.28,0,0,1,0,0,0,1
14,12,15,0.0,4.89,0,0,0,1,0,0,2
14,12,15,0.86,6.45,0,0,0,0,1,1,3
14,12,15,0.14,6.45,0,0,0,0,0,0,4
15,12,19,0.0,6.45,0,0,1,0,0,0,1
15,12,19,0.0,4.89,0,0,0,1,0,0,2
15,12,19,0.86,6.45,0,0,0,0,1,1,3
15,12,19,0.14,6.45,0,0,0,0,0,0,4
16,12,23,0.0,6.45,0,0,1,0,0,0,1
16,12,23,0.0,4.89,0,0,0,1,0,0,2
16,12,23,0.86,6.45,0,0,0,0,1,1,3
16,12,23,0.14,6.45,0,0,0,0,0,0,4
17,12,31,0.0,4.98,0,0,1,0,0,0,1
17,12,31,0.0,4.89,0,1,0,1,0,0,2
17,12,31,0.86,6.45,0,0,0,0,1,1,3
17,12,31,0.14,4.67,0,0,0,0,0,0,4
18,12,40,0.0,6.45,0,0,1,0,0,0,1
18,12,40,0.0,4.52,0,1,0,1,0,0,2
18,12,40,0.86,5.45,0,1,0,0,1,1,3
18,12,40,0.14,4.67,0,0,0,0,0,0,4
19,12,45,0.0,6.45,0,0,1,0,0,0,1
19,12,45,0.0,4.67,0,1,0,1,0,0,2
19,12,45,0.86,5.45,0,0,0,0,1,1,3
19,12,45,0.14,6.45,0,0,0,0,0,0,4
20,12,50,0.0,6.95,0,0,1,0,0,0,1
20,12,50,0.0,4.67,0,0,0,1,0,0,2
20,12,50,0.86,6.95,0,0,0,0,1,1,3
20,12,50,0.14,6.95,0,0,0,0,0,0,4
21,15,9,0.0,5.3,0,0,1,0,0,0,1
21,15,9,1.0,4.98,0,0,0,1,0,1,2
21,15,9,0.0,5.38,0,0,0,0,1,0,3
21,15,9,0.0,4.98,0,0,0,0,0,0,4
22,15,10,0.0,6.45,0,0,1,0,0,0,1
22,15,10,1.0,4.2,1,0,0,1,0,1,2
22,15,10,0.0,5.28,0,0,0,0,1,0,3
22,15,10,0.0,4.89,0,0,0,0,0,0,4
23,15,10,0.0,6.45,0,0,1,0,0,0,1
23,15,10,1.0,4.2,1,0,0,1,0,1,2
23,15,10,0.0,5.28,0,0,0,0,1,0,3
23,15,10,0.0,4.89,0,0,0,0,0,0,4
24,15,19,0.0,4.67,0,0,1,0,0,0,1
24,15,19,1.0,4.98,0,0,0,1,0,1,2
24,15,19,0.0,6.55,0,0,0,0,1,0,3
24,15,19,0.0,4.98,0,0,0,0,0,0,4
25,15,27,0.0,4.67,0,0,1,0,0,0,1
25,15,27,1.0,4.98,0,0,0,1,0,1,2
25,15,27,0.0,6.55,0,0,0,0,1,0,3
25,15,27,0.0,4.98,0,0,0,0,0,0,4
26,15,49,0.0,6.95,0,0,1,0,0,0,1
26,15,49,1.0,3.89,0,0,0,1,0,1,2
26,15,49,0.0,6.95,0,0,0,0,1,0,3
26,15,49,0.0,5.39,0,0,0,0,0,0,4
27,16,1,0.0,6.45,0,0,1,0,0,0,1
27,16,1,0.18,3.89,1,1,0,1,0,1,2
27,16,1,0.59,6.45,0,0,0,0,1,0,3
27,16,1,0.14,6.45,0,0,0,0,0,0,4
28,16,3,0.0,6.45,0,0,1,0,0,0,1
28,16,3,0.18,4.36,0,1,0,1,0,1,2
28,16,3,0.59,6.45,0,0,0,0,1,0,3
28,16,3,0.14,6.45,0,0,0,0,0,0,4
29,16,6,0.0,5.28,0,0,1,0,0,0,1
29,16,6,0.18,4.36,0,0,0,1,0,1,2
29,16,6,0.59,5.28,0,0,0,0,1,0,3
29,16,6,0.14,4.89,0,0,0,0,0,0,4
30,16,17,0.0,6.45,0,0,1,0,0,0,1
30,16,17,0.18,4.89,0,0,0,1,0,0,2
30,16,17,0.59,5.28,0,0,0,0,1,0,3
30,16,17,0.14,4.89,0,0,0,0,0,1,4
31,16,50,0.0,6.95,0,0,1,0,0,0,1
31,16,50,0.18,3.58,0,0,0,1,0,1,2
31,16,50,0.59,6.95,0,0,0,0,1,0,3
31,16,50,0.14,5.39,0,0,0,0,0,0,4
32,21,30,0.0,4.98,1,0,1,0,0,0,1
32,21,30,1.0,4.89,0,1,0,1,0,1,2
32,21,30,0.0,6.45,0,0,0,0,1,0,3
32,21,30,0.0,6.45,0,0,0,0,0,0,4
33,21,32,0.0,5.38,0,0,1,0,0,0,1
33,21,32,1.0,4.98,0,0,0,1,0,1,2
33,21,32,0.0,5.45,0,0,0,0,1,0,3
33,21,32,0.0,6.55,0,0,0,0,0,0,4
34,21,41,0.0,6.55,0,0,1,0,0,0,1
34,21,41,1.0,3.81,1,1,0,1,0,1,2
34,21,41,0.0,5.45,0,0,0,0,1,0,3
34,21,41,0.0,4.67,0,0,0,0,0,0,4
35,21,41,0.0,6.55,0,0,1,0,0,0,1
35,21,41,1.0,3.81,1,1,0,1,0,1,2
35,21,41,0.0,5.45,0,0,0,0,1,0,3
35,21,41,0.0,4.67,0,0,0,0,0,0,4
36,21,42,0.0,6.55,0,0,1,0,0,0,1
36,21,42,1.0,3.81,0,0,0,1,0,1,2
36,21,42,0.0,5.45,0,0,0,0,1,0,3
36,21,42,0.0,6.55,0,0,0,0,0,0,4
37,21,47,0.0,6.97,0,0,1,0,0,0,1
37,21,47,1.0,3.88,1,0,0,1,0,1,2
37,21,47,0.0,7.0,0,0,0,0,1,0,3
37,21,47,0.0,5.41,0,0,0,0,0,0,4
38,21,50,0.0,7.02,0,0,1,0,0,0,1
38,21,50,1.0,4.67,0,0,0,1,0,1,2
38,21,50,0.0,7.02,0,0,0,0,1,0,3
38,21,50,0.0,5.45,0,0,0,0,0,0,4
39,34,5,1.0,5.39,0,0,1,0,0,1,1
39,34,5,0.0,5.27,0,0,0,1,0,0,2
39,34,5,0.0,5.39,0,0,0,0,1,0,3
39,34,5,0.0,5.02,0,1,0,0,0,0,4
40,34,7,1.0,5.39,0,1,1,0,0,1,1
40,34,7,0.0,5.03,0,0,0,1,0,0,2
40,34,7,0.0,5.39,0,0,0,0,1,0,3
40,34,7,0.0,5.02,0,0,0,0,0,0,4
41,34,12,1.0,5.39,0,0,1,0,0,1,1
41,34,12,0.0,5.24,0,0,0,1,0,0,2
41,34,12,0.0,6.94,0,0,0,0,1,0,3
41,34,12,0.0,5.01,0,0,0,0,0,0,4
42,34,15,1.0,5.39,0,0,1,0,0,1,1
