ABUNDANCE,BIOMAS,valid_name,SAMPLE_DESC,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
369,,"Alnus rubra",ALCO_CH11_1_1946_17076,45.041681,-123.909525,1,10,1946
339,,"Picea sitchensis",ALCO_CH11_1_1946_17076,45.041681,-123.909525,1,10,1946
73,,"Pseudotsuga menziesii",ALCO_CH11_1_1946_17076,45.041681,-123.909525,1,10,1946
16,,"Tsuga heterophylla",ALCO_CH11_1_1946_17076,45.041681,-123.909525,1,10,1946
369,,"Alnus rubra",ALCO_CH11_1_1951_18872,45.041681,-123.909525,1,9,1951
388,,"Picea sitchensis",ALCO_CH11_1_1951_18872,45.041681,-123.909525,1,9,1951
73,,"Pseudotsuga menziesii",ALCO_CH11_1_1951_18872,45.041681,-123.909525,1,9,1951
17,,"Tsuga heterophylla",ALCO_CH11_1_1951_18872,45.041681,-123.909525,1,9,1951
312,,"Alnus rubra",ALCO_CH11_1_1956_20699,45.041681,-123.909525,1,9,1956
394,,"Picea sitchensis",ALCO_CH11_1_1956_20699,45.041681,-123.909525,1,9,1956
64,,"Pseudotsuga menziesii",ALCO_CH11_1_1956_20699,45.041681,-123.909525,1,9,1956
19,,"Tsuga heterophylla",ALCO_CH11_1_1956_20699,45.041681,-123.909525,1,9,1956
214,,"Alnus rubra",ALCO_CH11_1_1968_24898,45.041681,-123.909525,1,3,1968
365,,"Picea sitchensis",ALCO_CH11_1_1968_24898,45.041681,-123.909525,1,3,1968
50,,"Pseudotsuga menziesii",ALCO_CH11_1_1968_24898,45.041681,-123.909525,1,3,1968
19,,"Tsuga heterophylla",ALCO_CH11_1_1968_24898,45.041681,-123.909525,1,3,1968
144,,"Alnus rubra",ALCO_CH11_1_1980_29312,45.041681,-123.909525,1,4,1980
243,,"Picea sitchensis",ALCO_CH11_1_1980_29312,45.041681,-123.909525,1,4,1980
28,,"Pseudotsuga menziesii",ALCO_CH11_1_1980_29312,45.041681,-123.909525,1,4,1980
17,,"Tsuga heterophylla",ALCO_CH11_1_1980_29312,45.041681,-123.909525,1,4,1980
115,,"Alnus rubra",ALCO_CH11_1_1985_31199,45.041681,-123.909525,1,6,1985
153,,"Picea sitchensis",ALCO_CH11_1_1985_31199,45.041681,-123.909525,1,6,1985
26,,"Pseudotsuga menziesii",ALCO_CH11_1_1985_31199,45.041681,-123.909525,1,6,1985
15,,"Tsuga heterophylla",ALCO_CH11_1_1985_31199,45.041681,-123.909525,1,6,1985
106,,"Alnus rubra",ALCO_CH11_1_1996_35125,45.041681,-123.909525,1,3,1996
128,,"Picea sitchensis",ALCO_CH11_1_1996_35125,45.041681,-123.909525,1,3,1996
24,,"Pseudotsuga menziesii",ALCO_CH11_1_1996_35125,45.041681,-123.909525,1,3,1996
15,,"Tsuga heterophylla",ALCO_CH11_1_1996_35125,45.041681,-123.909525,1,3,1996
87,,"Alnus rubra",ALCO_CH11_1_2001_36951,45.041681,-123.909525,1,3,2001
83,,"Picea sitchensis",ALCO_CH11_1_2001_36951,45.041681,-123.909525,1,3,2001
21,,"Pseudotsuga menziesii",ALCO_CH11_1_2001_36951,45.041681,-123.909525,1,3,2001
13,,"Tsuga heterophylla",ALCO_CH11_1_2001_36951,45.041681,-123.909525,1,3,2001
1,,"Picea sitchensis",ALCO_CH11_1_2001_37043,45.041681,-123.909525,1,6,2001
1,,"Pseudotsuga menziesii",ALCO_CH11_1_2001_37073,45.041681,-123.909525,1,7,2001
73,,"Alnus rubra",ALCO_CH11_1_2006_38777,45.041681,-123.909525,1,3,2006
73,,"Picea sitchensis",ALCO_CH11_1_2006_38777,45.041681,-123.909525,1,3,2006
