ABUNDANCE,BIOMAS,valid_name,SAMPLE_DESC,LATITUDE,LONGITUDE,DAY,MONTH,YEAR
73,,Pseudotsuga menziesii,ALCO_CH11_1_1946_17076,45.041681,-123.909525,1,10,1946
73,,Pseudotsuga menziesii,ALCO_CH11_1_1951_18872,45.041681,-123.909525,1,9,1951
64,,Pseudotsuga menziesii,ALCO_CH11_1_1956_20699,45.041681,-123.909525,1,9,1956
50,,Pseudotsuga menziesii,ALCO_CH11_1_1968_24898,45.041681,-123.909525,1,3,1968
28,,Pseudotsuga menziesii,ALCO_CH11_1_1980_29312,45.041681,-123.909525,1,4,1980
26,,Pseudotsuga menziesii,ALCO_CH11_1_1985_31199,45.041681,-123.909525,1,6,1985
24,,Pseudotsuga menziesii,ALCO_CH11_1_1996_35125,45.041681,-123.909525,1,3,1996
21,,Pseudotsuga menziesii,ALCO_CH11_1_2001_36951,45.041681,-123.909525,1,3,2001
1,,Pseudotsuga menziesii,ALCO_CH11_1_2001_37073,45.041681,-123.909525,1,7,2001
22,,Pseudotsuga menziesii,ALCO_CH11_1_2006_38777,45.041681,-123.909525,1,3,2006
18,,Pseudotsuga menziesii,ALCO_CH15_1_1946_17076,45.04111,-123.90958,1,10,1946
18,,Pseudotsuga menziesii,ALCO_CH15_1_1951_18872,45.04111,-123.90958,1,9,1951
16,,Pseudotsuga menziesii,ALCO_CH15_1_1956_20699,45.04111,-123.90958,1,9,1956
10,,Pseudotsuga menziesii,ALCO_CH15_1_1968_24898,45.04111,-123.90958,1,3,1968
5,,Pseudotsuga menziesii,ALCO_CH15_1_1980_29312,45.04111,-123.90958,1,4,1980
3,,Pseudotsuga menziesii,ALCO_CH15_1_1985_31199,45.04111,-123.90958,1,6,1985
3,,Pseudotsuga menziesii,ALCO_CH15_1_1996_35125,45.04111,-123.90958,1,3,1996
3,,Pseudotsuga menziesii,ALCO_CH15_1_2001_36951,45.04111,-123.90958,1,3,2001
3,,Pseudotsuga menziesii,ALCO_CH15_1_2006_38777,45.04111,-123.90958,1,3,2006
138,,Pseudotsuga menziesii,ALCO_CH17_1_1946_17046,45.041144,-123.910093,1,9,1946
141,,Pseudotsuga menziesii,ALCO_CH17_1_1951_18902,45.041144,-123.910093,1,10,1951
136,,Pseudotsuga menziesii,ALCO_CH17_1_1956_20699,45.041144,-123.910093,1,9,1956
127,,Pseudotsuga menziesii,ALCO_CH17_1_1968_24898,45.041144,-123.910093,1,3,1968
93,,Pseudotsuga menziesii,ALCO_CH17_1_1980_29281,45.041144,-123.910093,1,3,1980
79,,Pseudotsuga menziesii,ALCO_CH17_1_1985_31199,45.041144,-123.910093,1,6,1985
1,,Pseudotsuga menziesii,ALCO_CH17_1_1996_35096,45.041144,-123.910093,1,2,1996
76,,Pseudotsuga menziesii,ALCO_CH17_1_1996_35125,45.041144,-123.910093,1,3,1996
64,,Pseudotsuga menziesii,ALCO_CH17_1_2001_36951,45.041144,-123.910093,1,3,2001
1,,Pseudotsuga menziesii,ALCO_CH17_1_2001_37043,45.041144,-123.910093,1,6,2001
62,,Pseudotsuga menziesii,ALCO_CH17_1_2006_38777,45.041144,-123.910093,1,3,2006
